disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
Common warts,"A sprinkling; black dots; blood vessels; Feeling; Feeling rough; hands; Small, fleshy, grainy bumps; the fingers; the touch; casual skin contact; Children; Children and young; Common warts; HIV / AIDS; HPV","a laboratory; a small sample; dark, pinpoint dots; Examining; Examining the wart; the top layer; the wart",,5-fluoruracil; 5-fluoruracil.; a special tool; a wart; Candida antigen; Candida antigen.; freezing; Freezing therapy; Freezing.; Laser treatment; Laser treatment.; liquid nitrogen; Other acids; Other acids.; other methods; Prescription-strength peeling medicine; Prescription-strength peeling medicine.; Remove wart tissue.; salicylic acid; salicylic acid work,brushing; care; Groom; hand moisturizer; hand moisturizer daily; hangnails; hot tubs; nail clipper; pick at hangnails; pick at warts; pumice stone; showers; skin; the same emery board; touch or pick; warm baths; warts; your fingernails,https://www.mayoclinic.org/diseases-conditions/common-warts/symptoms-causes/syc-20371125
Complex regional pain syndrome,,,,"Acupuncture; Acupuncture.; Biofeedback; biofeedback techniques; Biofeedback.; Chronic pain; guided exercising; heat; Heat therapy; Heat therapy.; hypersensitivity; Intrathecal drug pumps; Intrathecal drug pumps.; long, thin needles; medications; Mirror therapy; Mirror therapy.; Physical or occupational therapy; Physical or occupational therapy.; relief",,https://www.mayoclinic.org/diseases-conditions/crps-complex-regional-pain-syndrome/symptoms-causes/syc-20371151
Complicated grief,Bitterness; death; deep sadness; detachment; died; Experience depression; Extreme focus; Feel life; Focus; guilt; Inability; Intense and persistent; Intense and persistent longing; Intense sorrow; Isolate,a highly individual process; complicated grief; each person; grief; how much time; mental health experts; no consensus; normal grief; the intensity; the months,,blame; circumstances; circumstances in determining; complicated grief; complicated grief symptoms; doctor or mental; emotions; Explore and process; Explore and process thoughts; feelings; grief reactions; guilt; health professional; imagined conversations; Improve coping; Improve coping skills; Learn; Learn about complicated; mental health; mental health professional; skills; such topics; symptoms and circumstances; the circumstances; the death; what treatment; Your doctor; your particular symptoms,a loss; Bereavement counseling; Bereavement counseling.; early counseling; Family members; friends; most cases; Support; Support.; Talking.; your grief; your sadness,https://www.mayoclinic.org/diseases-conditions/complicated-grief/symptoms-causes/syc-20360374
Compulsive gambling,,,,,a relapse; gambling; gambling settings; people; people who gamble; spend time; time; time with people; treatment; your mental health provider,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178
Compulsive sexual behavior,a release; an escape; behaviors; certain sexual behaviors; compulsive sexual behavior; frequent urges; healthy and stable relationships; intense sexual fantasies; other problems; serious problems; sexual behaviors; spite; stable relationships; success; trouble,a problem; alcohol; an ongoing debate; behaviors; behaviors and urges; compulsive sexual behavior; Concerns; DSM-5-TR; Family; Many mental health professionals; Mental Disorders; mental health; mental health professionals; Physical and mental; Physical and mental health; problems; recreational drugs; relationships; sexual behavior; Sexual thoughts; social life; the American Psychiatric Association; the Diagnostic and Statistical Manual; Use; your sexual behavior,,"a form; Acceptance; Acceptance and commitment therapy,; CBT; Cognitive behavioral therapy; Cognitive behavioral therapy (CBT),; commitment therapy; compulsive sexual behavior; difficult emotions; healthy sexual activities; medicines; Mindfulness-based therapies; Mindfulness-based therapies,; problem behaviors; Psychodynamic psychotherapy; Psychodynamic psychotherapy,; psychotherapy; self-help groups; talk therapy; The main goal; the present; therapy; Treatment; unconscious thoughts; unhealthy, negative beliefs; urges",alcohol and drug use; Avoid risky situations.; Depression; help; mental health conditions; problems; risky situations; sexual behavior; situations; treatment; your health,https://www.mayoclinic.org/diseases-conditions/compulsive-sexual-behavior/symptoms-causes/syc-20360434
Concussion,a concussion; a fog; activities; adolescent athletes; adult; Amnesia; Amnesia surrounding; appearance; balance; Blurry; Blurry vision; Change in eating; Changes; child; concentration,a concussion; a neurological exam; Balance; cognitive testing; Coordination; healthcare professional evaluates; Hearing; imaging; professional; Reflexes; sensation; Strength; Strength and sensation; tests; Vision; your healthcare; your medical history; your symptoms,a concussion; Ability; Ability to recall; bad headaches; Brain imaging; cognitive skills; Concentration; healthcare professional; Imaging; Imaging tests; information; Memory; people; professional; professional may conduct; repeated vomiting; seizures; several factors; several tests; some people; symptoms; Testing; thinking skills; Your healthcare; your thinking skills,brain; brain heal; heal; heal and speed; recovery; speed; speed recovery; steps; your brain,a seat belt; athletes; Buckle your seat belt.; concussions; Educate coaches; Educate others about concussions.; Exercise; Exercise regularly.; Falls; head injuries; Make your home safe.; other recreational activities; Protect your children.; protective gear; serious injury; sports; the risk; your balance; your children; your floors,https://www.mayoclinic.org/diseases-conditions/concussion/symptoms-causes/syc-20355594
Congenital adrenal hyperplasia,balance; CAH; hormones; Symptoms; the adrenal glands; the body; the enzymes; the hormones; The symptoms; which gene; 21-hydroxylase; 21-hydroxylase deficiency; Ashkenazi Jewish; both carriers; Latino,a baby; baby is born; birth; born; childhood; life; Shortly; Shortly after birth,a needle; Amniocentesis; Amniocentesis.; cells; Chorionic villus sampling; Chorionic villus sampling.; This procedure; This test,A doctor; a geneticist; A mental health professional; a psychologist; a urologist; An expert; conditions; genes; mental health professional; the female reproductive system; urinary tract conditions,a child; a family; a genetic counselor; CAH; child with CAH; healthcare professional; no known way; prevent CAH; risk; your healthcare,https://www.mayoclinic.org/diseases-conditions/congenital-adrenal-hyperplasia/symptoms-causes/syc-20355205
Congenital diaphragmatic hernia (CDH),A type; Damage; development; high blood pressure; Problems; Severe trouble; Severe trouble breathing; small lungs; stomach; the arteries; the heart; the intestines; a genetic disorder; CDH; congenital diaphragmatic hernia,a family member; a medical imaging technique; a second procedure; a specialist; about 4 to 6 weeks; all the information; An echocardiogram; another baby; baby condition; brochures; CDH; condition; Congenital diaphragmatic hernia; ECMO; Extracorporeal membrane; Extracorporeal membrane oxygenation; Fetal; Fetal echocardiogram; Fetal echocardiogram.; Fetal magnetic resonance imaging,a medical imaging technique; An echocardiogram; CDH; Congenital diaphragmatic hernia; Fetal echocardiogram; Fetal echocardiogram.; Fetal magnetic resonance imaging; Fetal magnetic resonance imaging (MRI).; Genetic; genetic syndromes; Genetic testing; Genetic tests; Genetic tests.; Mayo Clinic; MRI; sound waves; testing,congenital diaphragmatic; congenital diaphragmatic hernia; diaphragmatic hernia; diaphragmatic hernia depends; hernia depends; the condition; Treatment; Treatment of congenital; your baby; Your health care team,,https://www.mayoclinic.org/diseases-conditions/congenital-diaphragmatic-hernia/symptoms-causes/syc-20544249
Congenital heart defects in children,activity; ankles; areas; belly; blue lips; breath; breathing; exercise; exercise or activity; Fainting during exercise; feedings; feet; Rapid; Rapid breathing; Shortness,a baby; A congenital heart defect; a healthcare; a routine pregnancy ultrasound test; birth; certain heart defects; Color changes; delays; fetal ultrasound; Growth; Growth delays; pregnancy; Signs; the baby; the lips; tongues,a cardiac MRI; A chest X-ray; a doctor; A sensor; Cardiac; Cardiac catheterization; Cardiac catheterization.; catheterization; Chest X; Chest X-ray.; Chest X-rays; children care; Congenital heart defects; ECG; Echocardiogram; Echocardiogram.; EKG; Electrocardiogram; Electrocardiogram (ECG or EKG).; Heart MRI,Heart; Heart procedures; Heart surgery; Heart transplant; Medicines; procedures; surgery; transplant,400 micrograms; a baby's health; a congenital heart defect; a healthcare; a multivitamin; a rubella vaccine; any painting; Avoid harmful substances.; blood sugar; chronic health conditions; Control blood sugar.; diabetes; Don't drink or smoke.; folic acid; German measles; Get a rubella vaccine.; Get proper prenatal care.; good control; harmful substances; Manage chronic health conditions.; other health conditions; Preventive antibiotics; Preventive antibiotics.; Some children; Some congenital heart defects; Sports and activity restrictions; Sports and activity restrictions.; the risk,https://www.mayoclinic.org/diseases-conditions/bicuspid-aortic-valve/cdc-20385577
Congenital heart disease in adults,activity; arrhythmias; Blue or gray skin; body tissues; breath; called arrhythmias; edema; Feeling tired; inside body tissues; Irregular heartbeats; lips; low oxygen levels; quickly with activity; Shortness; Shortness of breath,a stethoscope; adults; congenital heart disease; diagnose congenital heart; healthcare professional examines; medical and family history; questions; your healthcare; your heart; your symptoms,"a cardiac MRI; A chest X-ray; A heart MRI; A sensor; a thin, flexible tube; a treadmill; adults; An echocardiogram; Cardiac; Cardiac catheterization; Cardiac catheterization.; catheterization; Chest X; Chest X-ray.; Chest X-rays; Congenital heart disease; ECG; Echocardiogram; Echocardiogram.; EKG",a congenital heart defect; A person; adulthood; adults; childhood; congenital heart disease; repair; the heart condition; the symptoms; Treatment,a child; a congenital heart defect; a high risk; birth; complications; congenital heart; congenital heart disease; disease; families; healthy and prevent; heart disease; heart healthy; lifestyle changes; most congenital heart disease; prevent complications; Some types; the exact cause; the heart; these heart conditions,https://www.mayoclinic.org/diseases-conditions/adult-congenital-heart-disease/symptoms-causes/syc-20355456
Congenital myasthenic syndromes,an upright position; breath; breathing; chewing and swallowing; Cognitive; Cognitive impairment; crawling and walking; cry; Delayed; Delayed crawling; Delayed development; Difficulty; Difficulty chewing; double vision; Droopy eyelids,A blood test; a diagnostic procedure; Blood tests; Blood tests.; breathing; Cholinesterase challenge test; Cholinesterase challenge test.; electrodes; Electromyography; Electromyography (EMG).; EMG; Genetic testing; Genetic testing.; inhibitor medication; lung function tests; Other tests; Other tests.; pyridostigmine; Repetitive nerve stimulation; Repetitive nerve stimulation.,changes; congenital myasthenic syndromes; family members; genes; Genetic testing; instructions; mutations; the chemical database; your body's functions; your DNA,"Breathing support; Breathing support.; children with mild; congenital myasthenic; congenital myasthenic syndromes; Feeding support; Feeding support.; function; mild congenital; mild congenital myasthenic; mild congenital myasthenic syndromes; myasthenic syndromes; pauses; Physical, speech and occupation therapies; Problems; Rarely; severe orthopedic deformities; some children; Some congenital myasthenic syndromes; Surgery; Surgery.; swallowing; the spine; Therapies; Therapies.; treatment",,https://www.mayoclinic.org/diseases-conditions/congenital-myasthenic-syndrome/symptoms-causes/syc-20354754
